;F_cens;P_cens;R_cens;F_mfcc;P_mfcc;R_mfcc;param;kernel_size
127;0.10526315789473684;0.058823529411764705;0.5;0.2448979591836735;0.15384615384615385;0.6;(9, 4);20
128;0.12048192771084336;0.0684931506849315;0.5;0.2222222222222222;0.15384615384615385;0.4;(21, 5);20
129;0.13793103448275862;0.07407407407407407;1.0;0.0851063829787234;0.046511627906976744;0.5;(9, 2);20
130;0.1212121212121212;0.06896551724137931;0.5;0.24999999999999997;0.15;0.75;(9, 4);20
131;0.15384615384615385;0.09090909090909091;0.5;0.3;0.1875;0.75;(21, 5);20
132;0.1875;0.10344827586206896;1.0;0.19999999999999998;0.1111111111111111;1.0;(9, 2);20
133;0.30769230769230765;0.2;0.6666666666666666;0.25;0.15384615384615385;0.6666666666666666;(9, 4);20
134;0.42857142857142855;0.2727272727272727;1.0;0.16666666666666666;0.1111111111111111;0.3333333333333333;(21, 5);20
135;0.15584415584415587;0.08450704225352113;1.0;0.12000000000000001;0.06818181818181818;0.5;(9, 2);20
136;0.2666666666666667;0.15384615384615385;1.0;0.13333333333333333;0.08333333333333333;0.3333333333333333;(9, 4);20
137;0.303030303030303;0.18518518518518517;0.8333333333333334;0.23529411764705885;0.18181818181818182;0.3333333333333333;(21, 5);20
138;0.06451612903225806;0.034482758620689655;0.5;0.12121212121212122;0.06451612903225806;1.0;(9, 2);20
139;0.0;0.0;0.0;0.21052631578947367;0.11764705882352941;1.0;(9, 4);20
140;0.0;0.0;0.0;0.33333333333333337;0.2;1.0;(21, 5);20
141;0.14285714285714288;0.07692307692307693;1.0;0.13793103448275862;0.07692307692307693;0.6666666666666666;(9, 2);20
142;0.14814814814814814;0.08333333333333333;0.6666666666666666;0.42857142857142855;0.2727272727272727;1.0;(9, 4);20
143;0.0;0.0;0.0;0.3333333333333333;0.2222222222222222;0.6666666666666666;(21, 5);20
144;0.3185840707964602;0.1956521739130435;0.8571428571428571;0.43333333333333335;0.3333333333333333;0.6190476190476191;(9, 2);20
145;0.26865671641791045;0.1956521739130435;0.42857142857142855;0.34285714285714286;0.42857142857142855;0.2857142857142857;(9, 4);20
146;0.2857142857142857;0.21428571428571427;0.42857142857142855;0.25806451612903225;0.4;0.19047619047619047;(21, 5);20
147;0.2622950819672132;0.15384615384615385;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.1111111111111111;(9, 2);20
148;0.30000000000000004;0.1935483870967742;0.6666666666666666;0.35294117647058826;0.375;0.3333333333333333;(9, 4);20
149;0.26666666666666666;0.19047619047619047;0.4444444444444444;0.2857142857142857;0.4;0.2222222222222222;(21, 5);20
